surname,given_name,gender,dob
Glenn,Georgia,f,19940712
Hines,Margo,f,19431026
Harper,Gus,m,19940808
Lloyd,Lauretta,f,19610408
Corbett,Sofia,f,20070524
Nguyen,Ruben,m,19830325
Booth,Myrtle,f,20010924
Stanton,Vito,m,19971102
Raymond,Zella,f,19831214
Lawrence,Corine,f,19730107
Velazquez,Ashleigh,f,19840623
Roberson,Summer,f,19571224
Harper,Jasper,m,19960123
Britt,Gracie,f,19850227
Lindsey,Emanuel,m,20060107
Worley,Rhonda,f,19890121
Arrington,Marylou,f,19900420
Berg,Lucius,m,20000413
Williamson,Adelina,f,20060331
Zimmerman,Lloyd,m,20040517
Oconnor,Ione,f,19540630
Conner,Trent,m,19420123
Beasley,Nelda,f,19460803
Silva,Courtney,m,19980517
Burch,Adriana,f,19881010
Lancaster,Elena,f,19920113
Stanton,Warren,m,19450102
Childress,Keenan,m,19910923
Hodge,Zella,f,19720408
Mackey,Clayton,m,19620702
Shaffer,Mavis,f,20060817
Lucero,Peter,m,19400429
Torres,Barbara,f,19560314
Kendall,Sadie,f,20071119
Kendall,Shelley,f,19530628
Tucker,Dale,f,20070110
Sandoval,Frances,f,19470402
Moore,Gregg,m,19430922
Gilliam,Armando,m,19681007
Wolf,Terrance,m,19810413
Maxwell,Desiree,f,19450330
Hewitt,Dana,f,19960928
Shafer,Stan,m,19930609
Hayes,Brandie,f,20121013
Fields,Clinton,m,19410905
Harrington,Jonah,m,19740523
Mosley,Estela,f,19400615
Davenport,Belle,f,19830629
Blanton,Buster,m,19770104
Barber,Efrain,m,19500219
Moser,King,m,20130912
